id,category,question,evidence,red_flag,gate,applies_to
q14,data-and-provenance,"What role, geography, language, career-stage, and source coverage gaps are known?",Coverage analysis for the relevant population with missing and weak segments.,A total profile or record count is used as the only coverage evidence.,False,sourcing and ranking systems
q15,data-and-provenance,"How is freshness shown and how are stale, contradictory, duplicate, or merged records handled?","Field dates, confidence or provenance, deduplication tests, and correction workflow.",Generated text looks current even when underlying evidence has no date.,False,"sourcing, enrichment, and workflow systems"
q16,data-and-provenance,"Which protected, sensitive, biometric, or proxy characteristics are collected or inferred?","Data dictionary, purpose, access, retention, and evaluation of necessity for each field.",The system infers sensitive traits because direct collection was avoided or uses them without a defined purpose.,True,screening and candidate-data systems
q17,data-and-provenance,"Where does data flow, including model providers, subprocessors, analytics, support tools, exports, and backups?","Data-flow map, subprocessor list, regions, contractual roles, and access controls.",The privacy page does not match the contracted configuration or omits human service access.,True,all systems
q18,data-and-provenance,"How can the buyer and affected person access, correct, restrict, delete, suppress, or export relevant data?","Demonstrated request workflow, service levels, propagation behavior, and audit record.",Corrections do not reach derived data or deleted records reappear from another source.,True,candidate-data and engagement systems
q19,candidate-impact,"What are candidates told about AI use, evaluated information, timing, and consequential decisions?",Candidate-facing notice shown in the actual journey before the relevant action.,"Notice is hidden, generic, delivered after assessment, or inconsistent with the workflow.",True,candidate-facing and screening systems
q20,candidate-impact,How does a candidate request an accommodation and reach an accountable human?,"End-to-end test of request, response, alternative path, scoring, and downstream handling.",Only technical support exists or requesting accommodation removes the person from normal consideration.,True,candidate-facing systems
q21,candidate-impact,"Has the complete candidate journey been tested for keyboard, screen reader, mobile, timing, language, interruption, and error recovery?","Accessibility test report, user testing, defects, remediation, and retest evidence.",The vendor cites a generic compliance statement without the evaluated flow or alternative path.,True,candidate-facing systems
q22,candidate-impact,"Can candidates correct material data, contest a consequential result, or receive reassessment?",Visible correction and escalation workflow with ownership and record updates.,"There is no route to change an incorrect inference, status, score, or duplicate record.",True,"screening, ranking, and candidate-data systems"
q23,candidate-impact,"What candidate feedback, completion, drop-off, complaint, opt-out, and accommodation signals are monitored?","Metric definitions, reporting path visibility, review cadence, and incident examples.",No complaints is treated as satisfaction even when candidates cannot identify or report AI-related issues.,False,candidate-facing systems
q24,candidate-impact,What happens when the system has insufficient or conflicting evidence about a candidate?,"Demonstration of unknown state, human follow-up, alternative evidence, and no-guess behavior.",The model produces a confident score or rejection from missing information.,True,ranking and screening systems
q25,controls-and-integrations,"Which records and fields can each component read, write, export, message, or schedule?",Permission matrix and live credential configuration using least privilege.,Broad administrative access is required for a narrow recruiting task.,True,integrated and agent systems
q26,controls-and-integrations,Which actions require approval and is that policy enforced at the tool or workflow boundary?,"Rejected unauthorized call, approval record, and execution tied to the approved object version.","Approval is a prompt instruction, optional reviewer habit, or one click covering changed content.",True,agent and external-action systems
q27,controls-and-integrations,"How are sender identity, channel, message, timing, follow-up, suppression, and opt-out controlled?","Production configuration, suppression test, approval log, and stopped queued action.",The vendor cannot show who authorized the sender or how a new suppression affects queued work.,True,engagement systems
q28,controls-and-integrations,"Can the vendor demonstrate field mappings, duplicates, retries, idempotency, partial writes, and reconciliation in the buyer's actual integration?","Sandbox or pilot tests against the named ATS, CRM, calendar, and communication systems.",An integration logo or generic API documentation replaces a production-depth demonstration.,True,integrated systems
q29,controls-and-integrations,"What happens when a tool is unavailable, a credential is revoked, or a downstream write is rejected?","Failure-injection test showing containment, status, safe retry, escalation, and manual completion.","The agent silently retries, duplicates an action, loses state, or invents success.",True,agent and integrated systems
q30,controls-and-integrations,"Can the buyer pause one action, candidate, role, channel, integration, agent, or the full environment?","Buyer-visible kill switches, queue behavior, service levels, and tested resumption.",Only the vendor can stop work or a pause leaves scheduled retries active.,True,agent and external-action systems
q31,controls-and-integrations,"Can a human finish the workflow with the approved brief, evidence, conversation state, suppressions, and pending commitments?",Observed manual takeover and later reconciliation back into the system.,"Critical context exists only in model memory, vendor operations, or inaccessible logs.",True,agent and managed-service systems
q32,controls-and-integrations,"How is untrusted resume, message, or linked content prevented from overriding policy or expanding tool access?","Threat model and tests showing data cannot grant permissions, expose records, or bypass workflow rules.",Prompt instructions are the only boundary between candidate content and privileged actions.,True,agent systems
q33,operations-and-security,"What audit trail connects source evidence, system recommendation, approval, tool call, external effect, human edit, and final outcome?",A reconstructed real or test case with stable identifiers and versioned events.,Generated summaries overwrite source facts or actions cannot be tied to an approver.,True,all consequential systems
q34,operations-and-security,"How are logs minimized, protected, retained, exported, deleted, and made available during an incident?","Logging design, role access, retention settings, redaction, and incident retrieval test.",Observability copies full candidate data broadly or is unavailable to the accountable buyer.,True,all systems
q35,operations-and-security,"What incident categories, notification timelines, evidence preservation, correction, and return-to-service rules apply?","Incident plan, named contacts, contractual commitments, and a tabletop or prior example.","Model-quality, candidate, message, or integration incidents fall outside the vendor's security process and have no owner.",True,all systems
q36,operations-and-security,"How are production quality, overrides, errors, candidate signals, and drift monitored by version and role?","Monitoring definitions, thresholds, review cadence, version history, and investigation examples.","Monitoring covers uptime and latency but not hiring quality, candidate impact, or changed behavior.",False,all systems
q37,operations-and-security,"How are vendor staff, support access, managed-service operators, and subprocessors authorized and audited?","Access roles, approval, logging, training, review, revocation, and subprocessor obligations.",Human operations can bypass controls that are enforced only in the product interface.,True,managed-service and support-enabled systems
q38,commercial-and-exit,"What fixed, variable, minimum, overage, credit, renewal, and expiration terms govern the evaluated workflow?",Order form and governing terms using the same unit definitions as the evaluation.,"Headline price excludes required data, model, message, implementation, or service units.",False,all systems
q39,commercial-and-exit,"Which implementation, integration, operation, review, QA, support, and candidate-service labor belongs to the vendor or buyer?",Responsibility matrix and time record from references or the pilot.,Automation claims exclude substantial buyer cleanup or hidden vendor operation.,False,all systems
q40,commercial-and-exit,"How are role, candidate, qualified, interested, introduction, interview, usage, and remedy defined?","Consistent definitions in product documentation, pilot protocol, order form, and terms.",Marketing outcome language becomes a different activity or unit in the agreement.,True,outcome and managed-service systems
q41,commercial-and-exit,What remedy applies when the promised deliverable or service level is missed?,"Contract language for rerun, replacement, credit, support, refund, and exclusions.",The only remedy is more usage of the same failed process or a nonbinding sales promise.,False,all systems
q42,commercial-and-exit,"How can the buyer export data, configurations, evidence, logs, and workflow context and exit the service?","Test export, documented formats, timing, fees, deletion, transition support, and continuity plan.","Data export exists but decisions, approvals, conversations, or suppressions cannot be operationally transferred.",True,all systems
q43,pilot-and-outcomes,"Will the vendor accept a pilot with a frozen brief, buyer-controlled baseline, representative cases, and pre-agreed decision rule?","Signed pilot protocol with scope, roles, metric definitions, owners, and end date.",The pilot uses only vendor-selected roles or success criteria are chosen after results.,True,all systems
q44,pilot-and-outcomes,"Will the pilot sample selected, rejected, borderline, stale, duplicate, and insufficient-information cases?",Sampling frame and completed review record across the defined cases.,Only top-ranked or successful outputs are available for review.,True,ranking and screening systems
q45,pilot-and-outcomes,"Which outcome, quality, time, labor, candidate-impact, and reliability metrics will be collected with explicit denominators?","Measurement plan, data sources, collection owners, and interpretation limits.","A dashboard counts activity but omits review labor, errors, candidate impact, or denominator definitions.",False,all systems
q46,pilot-and-outcomes,What stop conditions and recovery actions apply before increasing candidate or operational exposure?,"Observable triggers, owner, kill-switch test, queue handling, candidate correction, and fallback.",The pilot cannot stop without losing context or affecting other hiring workflows.,True,"candidate-facing, integrated, and agent systems"
q47,pilot-and-outcomes,"How will material changes during the pilot be frozen, versioned, or treated as a new phase?",Configuration register and separate pre-change and post-change evaluation results.,"Models, sources, prompts, thresholds, or approvals change silently and results are blended.",True,all systems
q48,pilot-and-outcomes,"What exact boundary may expand if the pilot passes, and what still requires new evidence?","Closeout decision naming roles, populations, permissions, volume, controls, exclusions, and re-test triggers.","Success on one role or component is used to approve every feature, geography, or autonomous action.",True,all systems
